Detail 1.1.1 ,,,,,,,,,
"Window Wall System ""½ Spandrel Panel Clear Wall with No Interior Stud Cavity Insulation",,,,,,,,,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),Total EC for thickness,Assembly total EC
1,Interior Films1,-,-,R-0.6 to R-1.1 (0.12 to 0.20 RSI),-,-,0.8,0.0000008,86.16894041
2,Wood Sill,"1 1/4""½ (30)",0.69 (0.10),-,27.8 (445),0.45 (1880),218,6.54,
3,Steel Sheet Connected to Studs,18 Gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
4,Gypsum Board,"1/2"" (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),3.75,0.04875,
5,Air in Stud Cavity,"3 5/8""½ (92)",-,R-0.9 (0.16 RSI),0.075 (1.2),0.24 (1000),0,0,
6,"1 5/8""½ x 1 5/8""½ Steel Studs (16""½o.c.) with Top and Bottom Tracks",18 Gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
7,Backpan Insulation,Varies,0.24 (0.034),R-8.4 to R-16.8 (1.48 to 2.96 RSI),4 (64),0.20 (850),9.98,0.499,
8,Concrete Slab,"8""½ (203)",12.5 (1.8),-,140 (2250),0.20 (850),389,78.967,
9,Aluminum Flashing,14 Gauge,1109 (160),-,171 (2739),0.21 (900),26368,0.052736,
10,Bypass Insulation,"1""½ (25)",0.20 (0.029),R-5 (0.88 RSI),1.8 (28),0.29 (1220),2.33,0.05825,
11,Exterior Film1,-,-,R-0.2 (0.03 RSI),-,-,0.81,0.00000081,
Detail 1.2.2,,,,,,,,,
"Window Wall System ""½ Intermediate Floor Intersection with Spandrel Bypass and Interior Spray Foam Insulation",,,,,,,,,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),Total EC for thickness,Assembly total EC
1,Interior Films1,-,-,R-0.6 to R-1.1 (0.12 to 0.20 RSI),-,-,0.8,0.0000008,86.86764041
2,Wood Sill,"1 1/4""½ (30)",0.69 (0.10),-,27.8 (445),0.45 (1880),218,6.54,
3,Steel Sheet Connected to Studs,18 Gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
4,Gypsum Board,"1/2"" (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),3.75,0.04875,
5,Air in Stud Cavity,"1 5/8""½ (41)",-,R-0.9 (0.16 RSI),0.075 (1.2),0.24 (1000),0,0,
6,"1 5/8""½ x 1 5/8""½ Steel Studs (16""½o.c.) with Top and Bottom Tracks",18 Gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
7,Continuous Spray Foam Insulation,"2""½ (51)",0.17 (0.024),R-12 (2.11 RSI),2.8 (39),0.35 (1470),13.7,0.6987,
8,Backpan Insulation,Varies,0.24 (0.034),R-8.4 to R-16.8 (1.48 to 2.96 RSI),4 (64),0.20 (850),9.98,0.499,
9,Concrete Slab,"8""½ (203)",12.5 (1.8),-,140 (2250),0.20 (850),389,78.967,
10,Aluminum Flashing,14 Gauge,1109 (160),-,171 (2739),0.21 (900),26368,0.052736,
11,Bypass Insulation,"1""½ (25)",0.20 (0.029),R-5 (0.88 RSI),1.8 (28),0.29 (1220),2.33,0.05825,
12,Exterior Film1,-,-,R-0.2 (0.03 RSI),-,-,0.81,0.00000081,
Detail 1.2.3 ,,,,,,,,,
"Window Wall System with 3""½ x 3""½ Spandrel Section ""½ AIM Applications at Intermediate Floor Intersection",,,,,,,,,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),Total EC for thickness,Assembly total EC
1,Interior Films1,-,-,R-0.6 to R-1.1 (0.12 to 0.20 RSI),-,-,0.8,0.0000008,79.01735301
2,Gypsum Board,"1/2"" (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),3.75,0.04875,
3,Air in Stud Cavity,"3 5/8""½ (92)",-,R-0.9 (0.16 RSI),0.075 (1.2),0.24 (1000),0,0,
4,"1 5/8""½ x 1 5/8""½ Steel Studs (16""½o.c.) with Top and Bottom Tracks",18 Gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
5,Concrete Slab,"8""½ (203)",12.5 (1.8),-,140 (2250),0.20 (850),389,78.967,
6,Exterior Film1,-,-,R-0.2 (0.03 RSI),-,-,0.81,0.00000081,
Detail 1.2.4,,,,,,,,,
"Window Wall System ""½ Triple Glazed Insulated Frame at Slab Intersection with Improved Spandrel Bypass & No Interior Stud Cavity Insulation",,,,,,,,,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),Total EC for thickness,Assembly total EC
1,Interior Films1,-,-,R-0.6 to R-1.1 (0.12 to 0.20 RSI),-,-,0.8,0.0000008,86.43626441
2,Wood Sill,"1 1/4""½ (30)",0.69 (0.10),-,27.8 (445),0.45 (1880),218,6.54,
3,Steel Sheet Connected to Studs,18 Gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
4,Gypsum Board,"1/2"" (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),3.75,0.04875,
5,Air in Stud Cavity,"3 5/8""½ (92)",-,R-0.9 (0.16 RSI),0.075 (1.2),0.24 (1000),0,0,
6,"3 5/8""½ x 1 5/8""½ Steel Studs (16""½o.c.) with Top and Bottom Tracks",18 Gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
7,Backpan Insulation,"3""½ (76)",0.24 (0.034),R-12.6 (2.22 RSI),4 (64),0.20 (850),9.98,0.75848,
8,Concrete Slab,"8""½ (203)",12.5 (1.8),-,140 (2250),0.20 (850),389,78.967,
9,Bypass Insulation,"2""½ (51)",0.24 (0.034),R-8.4 (1.48 RSI),4 (64),0.20 (850),2.33,0.11883,
10,Exterior Film1,-,-,R-0.2 (0.03 RSI),-,-,0.81,0.00000081,
Detail 1.2.5,,,,,,,,,
"Window Wall System ""½ Full Height Spandrel at Slab Intersection with Spandrel Bypass & No Interior Stud Cavity Insulation",,,,,,,,,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),Total EC for thickness,Assembly total EC
1,Interior Films1,-,-,R-0.6 to R-1.1 (0.12 to 0.20 RSI),-,-,0.8,0.0000008,79.62733901
2,Gypsum Board,"1/2"" (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),3.75,0.04875,
3,Air in Stud Cavity,"3 5/8""½ (92)",-,R-0.9 (0.16 RSI),0.075 (1.2),0.24 (1000),0,0,
4,"3 5/8""½ x 1 5/8""½ Steel Studs (16""½o.c.) with Top and Bottom Tracks",18 Gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
5,Backpan Insulation,Varies,0.24 (0.034),R-8.4 to R-16.8 (1.48 to 2.96 RSI),4 (64),0.20 (850),9.98,0.499,
6,Concrete Slab,"8""½ (203)",12.5 (1.8),-,140 (2250),0.20 (850),389,78.967,
7,Bypass Insulation,"1""½ (25)",0.20 (0.029),R-5 (0.88 RSI),1.8 (28),0.29 (1220),2.33,0.05825,
8,Aluminum Flashing,14 Gauge,1109 (160),-,171 (2739),0.21 (900),26368,0.052736,
9,Exterior Film1,-,-,R-0.2 (0.03 RSI),-,-,0.81,0.00000081,
Detail 1.2.6,,,,,,,,,
"Window Wall System ""½ Full Height Spandrel at Slab Intersection with Spandrel Bypass & Interior Spray Foam Insulation",,,,,,,,,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),Total EC for thickness,Assembly total EC
1,Interior Films1,-,-,R-0.6 to R-1.1 (0.12 to 0.20 RSI),-,-,0.8,0.0000008,80.32603901
2,Gypsum Board,"1/2"" (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),3.75,0.04875,
3,Air in Stud Cavity,"1 5/8""½ (41)",-,R-0.9 (0.16 RSI),0.075 (1.2),0.24 (1000),0,0,
4,"3 5/8""½ x 1 5/8""½ Steel Studs (16""½o.c.) with Top and Bottom Tracks",18 Gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
5,Continuous Spray Foam Insulation,"2""½ (51)",0.17 (0.024),R-12 (2.11 RSI),2.8 (39),0.35 (1470),13.7,0.6987,
6,"Full Height Aluminum Window Wall Spandrel System with Insulated Backpan: thermally broken frame, no insulation in mullions2",,,,,,N/A,N/A,
7,Backpan Insulation,Varies,0.24 (0.034),R-8.4 to R-16.8 (1.48 to 2.96 RSI),4 (64),0.20 (850),9.98,0.499,
8,Concrete Slab,"8""½ (203)",12.5 (1.8),-,140 (2250),0.20 (850),389,78.967,
9,Bypass Insulation,"1""½ (25)",0.20 (0.029),R-5 (0.88 RSI),1.8 (28),0.29 (1220),2.33,0.05825,
10,Aluminum Flashing,14 Gauge,1109 (160),-,171 (2739),0.21 (900),26368,0.052736,
11,Exterior Film1,-,-,R-0.2 (0.03 RSI),-,-,0.81,0.00000081,
Detail 1.2.7,,,,,,,,,
"Window Wall System ""½ Full Height Insulated Frame at Slab Intersection with Improved Spandrel Bypass & No Interior Stud Cavity Insulation",,,,,,,,,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),Total EC for thickness,Assembly total EC
1,Interior Films1,-,-,R-0.6 to R-1.1 (0.12 to 0.20 RSI),-,-,0.8,0.0000008,79.89466301
2,Gypsum Board,"1/2"" (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),3.75,0.04875,
3,Air in Stud Cavity,"3 5/8""½ (92)",-,R-0.9 (0.16 RSI),0.075 (1.2),0.24 (1000),0,0,
4,"3 5/8""½ x 1 5/8""½ Steel Studs (16""½o.c.) with Top and Bottom Tracks",18 Gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
5,"Full Height Aluminum Window Wall Spandrel System with Insulated Backpan: thermally broken frame with insulation within mullions, additional bypass insulation and two deflection header thermal break scenarios, A) Standard, B) Inline with Slab Insulation 2",,,,,,N/A,N/A,
6,Backpan Insulation,"3""½ (76)",0.24 (0.034),R-12.6 (2.22 RSI),4 (64),0.20 (850),9.98,0.75848,
7,Concrete Slab,"8""½ (203)",12.5 (1.8),-,140 (2250),0.20 (850),389,78.967,
8,Bypass Insulation,"2""½ (51)",0.24 (0.034),R-8.4 (1.48 RSI),4 (64),0.20 (850),2.33,0.11883,
9,Exterior Film1,-,-,R-0.2 (0.03 RSI),-,-,0.81,0.00000081,
Detail 1.2.8,,,,,,,,,
"Window Wall System ""½ Full Height Insulated Frame at Slab Intersection with Hybridized Clipped Spandrel & No Interior Stud Cavity Insulation",,,,,,,,,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),Total EC for thickness,Assembly total EC
1,Interior Films1,-,-,R-0.6 to R-1.1 (0.12 to 0.20 RSI),-,-,0.8,0.0000008,80.77717901
2,Gypsum Board,"1/2"" (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),3.75,0.04875,
3,Air in Stud Cavity,"3 5/8""½ (92)",-,R-0.9 (0.16 RSI),0.075 (1.2),0.24 (1000),0,0,
4,"3 5/8""½ x 1 5/8""½ Steel Studs (16""½o.c.) with Top and Bottom Tracks",18 Gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
5,"Full Height Aluminum Window Wall Spandrel System with Insulated Backpan: thermally broken frame with hybrid clip system on mullions holding up metal panel, allowing for extended amounts of insulation in the backpan and 1""½ of insulation in front of the mullions2",,,,,,N/A,N/A,
6,Backpan Insulation,"5.5""½ (140)",0.24 (0.034),R-23.1 (4.07 RSI),4 (64),0.20 (850),9.98,1.3972,
7,Concrete Slab,"8""½ (203)",12.5 (1.8),-,140 (2250),0.20 (850),389,78.967,
8,Bypass Insulation,"5.25""½ (133)",0.24 (0.034),R-22.1 (3.88 RSI),4 (64),0.20 (850),2.33,0.30989,
9,Aluminum Flashing,14 Gauge,1109 (160),-,171 (2739),0.21 (900),26368,0.052736,
10,Exterior Film1,-,-,R-0.2 (0.03 RSI),-,-,0.81,0.00000081,
Detail 1.2.9,,,,,,,,,
"Window Wall System with Upstand Spandrel Section ""½ Intermediate Floor Intersection with Spandrel Bypass and no Interior Stud Cavity Insulation",,,,,,,,,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),Total EC for thickness,Assembly total EC
1,Interior Film1,-,-,R-0.6 to R-1.1 (0.11 RSI to 0.20 RSI),-,-,0.8,0.0000008,89.46642041
2,Wood Sill,"1""½ (25)",0.69 (0.10),-,27.8 (445),0.45 (1880),218,5.45,
3,Steel Track Connected to Studs,18 Gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
4,Gypsum Board,"1/2"" (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),3.75,0.04875,
5,Air in Stud Cavity,"3 5/8""½ (92)",-,R-0.9 (0.16 RSI),0.075 (1.2),0.24 (1000),0,0,
6,"1 5/8""½ x 1 5/8""½ Steel Studs (16""½ o.c.) with Top and Bottom Tracks",18 Gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
7,"Aluminum Window Wall Spandrel System with Insulated Backpan: thermally broken frame, no insulation in mullions2",,,,,,N/A,N/A,
8,Backpan Insulation,"3""½ (76)",0.24 (0.034),R-12.6 (2.22 RSI),1.8 (28),0.29 (1220),9.98,0.75848,
9,"Aluminum Window Wall Vision System: thermally broken frame2, double glazed IGU UCOG = 0.242 BTU/hr.ft2.oF (1.37 W/m2K)",,,,,,129,4.128,
10,Concrete Floor Slab,"8""½ (203)",12.5 (1.8),-,140 (2250),0.20 (850),389,78.967,
11,Aluminum Flashing,14 Gauge,1109 (160),-,171 (2739),0.21 (900),26368,0.052736,
12,Bypass Insulation,"1""½ (25)",0.24 (0.034),R-4.2 (0.74 RSI),1.8 (28),0.29 (1220),2.33,0.05825,
13,Exterior Film1,-,-,R-0.2 (0.03 RSI),-,-,0.81,0.00000081,
Detail 1.2.10,,,,,,,,,
"Window Wall System with Full Height Vision Section ""½ Intermediate Floor Intersection with Spandrel Bypass and no Interior Stud Cavity Insulation",,,,,,,,,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),Total EC for thickness,Assembly total EC
1,Interior Film1,-,-,R-0.6 to R-1.1 (0.11 RSI to 0.20 RSI),-,-,0.8,0.0000008,79.07798761
2,"Aluminum Window Wall Vision System: thermally broken frame2, double glaze IGU UCOG = 0.242 BTU/hr.ft2.oF (1.37 W/m2K)",,,,,,129,0,
3,Concrete Floor Slab,"8""½ (203)",12.5 (1.8),-,140 (2250),0.20 (850),389,78.967,
4,Aluminum Flashing,14 Gauge,1109 (160),-,171 (2739),0.21 (900),26368,0.052736,
5,Bypass Insulation,"1""½ (25)",0.24 (0.034),R-4.2 (0.74 RSI),1.8 (28),0.29 (1220),2.33,0.05825,
6,Exterior Film1,-,-,R-0.2 (0.03 RSI),-,-,0.81,0.00000081,
Detail 1.3.1,,,,,,,,,
"Window Wall System ""½ Uninsulated Concrete Parapet & Roof Intersection",,,,,,,,,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),Total EC for thickness,Assembly total EC
1,Interior Films1,-,-,R-0.6 to R-1.1 (0.12 to 0.20 RSI),-,-,0.8,0.0000008,84.55370301
2,Parapet Flashing,18 Gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
3,Wood Blocking,"1 1/4""½ (30)",0.69 (0.10),-,27.8 (445),0.45 (1880),1.99,0.0597,
4,Concrete Slab and Parapet,"8""½ (203)",12.5 (1.8),-,140 (2250),0.20 (850),389,78.967,
5,Roof Insulation,"4""½ (102)",0.20 (0.029),R-20 (3.5 RSI),1.8 (28),0.29 (1220),13.7,1.3974,
6,"Aluminum Window Wall Vision System: thermally broken frame2, no insulation in mullions, double glazed IGU UCOG= 0.32 BTU/hr?ft2?oF (1.82 W/m2K)",,,,,,129,4.128,
7,Exterior Film1,-,-,R-0.2 (0.03 RSI),-,-,0.81,0.00000081,
Detail 1.3.2,,,,,,,,,
"Window Wall System ""½ Partially Insulated Concrete Parapet & Roof Intersection",,,,,,,,,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),Total EC for thickness,Assembly total EC
1,Interior Films1,-,-,R-0.6 to R-1.1 (0.12 to 0.20 RSI),-,-,0.8,0.0000008,80.4855536
2,Parapet Flashing,18 Gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
3,Wood Blocking,"1 1/4""½ (30)",0.63 (0.09),-,27.8 (445),0.45 (1880),1.99,0.0597,
4,Steel Connector Plate,18 Gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
5,Concrete Slab and Parapet,"8""½ (203)",12.5 (1.8),-,140 (2250),0.20 (850),389,78.967,
6,Parapet Bypass Insulation,"1""½ (25)",0.20 (0.029),R-5 (0.88 RSI),1.8 (28),0.29 (1220),2.33,0.05825,
7,Roof Insulation,"4""½ (102)",0.20 (0.029),R-20 (3.5 RSI),1.8 (28),0.29 (1220),13.7,1.3974,
8,"Aluminum Window Wall Spandrel System with Insulated Backpan: thermally broken frame, no insulation in mullions2",,,,,,N/A,N/A,
9,Window Wall Mineral Wool Insulation,Varies,0.24 (0.034),R-8.4 to R-16.8 (1.48 to 2.96 RSI),4 (64),0.20 (850),15.1,0.755,
10,Aluminum Flashing,14 Gauge,1109 (160),-,171 (2739),0.21 (900),26368,0.052736,
11,"Aluminum Window Wall Vision System: thermally broken frame2, no insulation in mullions, double glazed IGU UCOG= 0.32 BTU/hr?ft2?oF (1.82 W/m2K)",,,,,,129,4.128,
12,Exterior Film1,-,-,R-0.2 (0.03 RSI),-,-,0.81,0.00000081,
Detail 1.4.1,,,,,,,,,
"Window Wall System ""½ Inside Corner with Spandrel to Vision Transition & No Interior Stud Cavity Insulation",,,,,,,,,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),Total EC for thickness,Assembly total EC
1,Interior Films1,-,-,R-0.6 to R-1.1 (0.12 to 0.20 RSI),-,-,0.8,0.0000008,92.02214041
2,Wood Sill,"1 1/4""½ (30)",0.69 (0.10),-,27.8 (445),0.45 (1880),218,6.54,
3,Steel Sheet Connected to Studs,18 Gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
4,Gypsum Board,"1/2"" (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),3.75,0.04875,
5,Air in Stud Cavity,"3 5/8""½ (92)",-,R-0.9 (0.16 RSI),0.075 (1.2),0.24 (1000),0,0,
6,"1 5/8""½ x 1 5/8""½ Steel Studs (16""½o.c.) with Top and Bottom Tracks",18 Gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
7,"Full Height Aluminum Window Wall Spandrel System with Insulated Backpan: thermally broken frame, no insulation in mullions2",,,,,,N/A,N/A,
8,Backpan Insulation,Varies,0.24 (0.034),R-8.4 to R-16.8 (1.48 to 2.96 RSI),4 (64),0.20 (850),9.98,0.499,
9,Concrete Slab,"8""½ (203)",12.5 (1.8),-,140 (2250),0.20 (850),389,78.967,
10,Bypass Insulation,"1""½ (25)",0.20 (0.029),R-5 (0.88 RSI),1.8 (28),0.29 (1220),2.33,0.05825,
11,Aluminum Flashing,14 Gauge,1109 (160),-,171 (2739),0.21 (900),26368,0.052736,
12,"Aluminum Window Wall Vision System: thermally broken frame2, no insulation in mullions, double glazed IGU UCOG= 0.32 BTU/hr?ft2?oF (1.82 W/m2K)",,,,,,129,4.128,
13,Post Insulation,"3""½ (76)",0.24 (0.034),R-12.6 (2.22 RSI),4 (64),0.20 (850),22.7,1.7252,
14,Exterior Film1,-,-,R-0.2 (0.03 RSI),-,-,0.81,0.00000081,
Detail 1.4.2,,,,,,,,,
"Window Wall System ""½ Inside Corner with Spandrel to Vision Transition & Interior Spray Foam Insulation",,,,,,,,,
